OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-34698,2025-259Z,2025-11-24T12:00:02.000160,15.75012562,.0001707,42.9993,154.9519,258.3216,280.1735,0,U,66445,999,324,.2844E-3,.43383E-3,0
STARLINK-34986,2025-259AA,2025-11-24T12:00:02.000160,15.75022531,.0001666,42.9992,154.9468,263.5194,276.8864,0,U,66446,999,334,.19805E-3,.30031E-3,0
STARLINK-34851,2025-259AB,2025-11-24T12:00:02.000160,15.74989340,.0001656,42.9995,154.9376,254.5756,289.6648,0,U,66447,999,324,.75884E-3,.117467E-2,0
STARLINK-35355,2025-259AC,2025-11-24T12:00:02.000160,15.75006584,.0001785,42.9995,154.9334,267.1263,279.0266,0,U,66448,999,334,.56239E-3,.8668E-3,0
STARLINK-34720,2025-259AD,2025-11-24T12:00:02.000160,15.75073524,.0001512,42.9996,154.9275,270.1765,277.8766,0,U,66449,999,324,-.34348E-3,-.52988E-3,0
STARLINK-35334,2025-259AE,2025-11-24T12:00:02.000160,15.75011635,.0001464,42.9993,154.9222,270.2967,279.6945,0,U,66450,999,334,.2867E-3,.43738E-3,0
VIASAT-3 F2,2025-261A,2025-11-21T08:15:38.784096,2.28441836,.23414339,5.5944,294.4096,181.5765,213.5086,0,U,66454,999,16,0,-.67E-6,0
ATLAS 5 CENTAUR R/B,2025-261B,2025-11-22T19:57:45.607104,2.28242226,.23300687,6.1721,293.6008,182.4772,345.8070,0,U,66455,999,19,0,-.64E-6,0
STARLINK-34774,2025-263A,2025-11-21T16:00:05.000256,16.00583381,.0002075,43.0011,252.6155,262.5449,67.5197,0,U,66485,999,224,-.196E-2,-.1080172E-1,.37987E-3
STARLINK-34844,2025-263B,2025-11-21T16:00:05.000256,16.00720137,.0002134,43.0008,252.6066,257.9880,75.4729,0,U,66486,999,219,-.19604E-2,-.1088938E-1,.38609E-3
STARLINK-34733,2025-263C,2025-11-21T16:00:05.000256,16.00846071,.00020942,43.0009,252.6020,261.1959,74.1218,0,U,66487,999,224,-.19622876E-2,-.1097858E-1,.39241143E-3
STARLINK-35515,2025-263D,2025-11-21T16:00:05.000256,16.00923866,.0002142,43.0008,252.5984,258.7674,77.9315,0,U,66488,999,224,-.1954E-2,-.1098175E-1,.39295E-3
STARLINK-35696,2025-263E,2025-11-21T16:00:05.000256,16.01015866,.0002173,43.0008,252.5944,260.4513,77.7736,0,U,66489,999,224,-.19449E-2,-.1098938E-1,.39384E-3
STARLINK-35693,2025-263F,2025-11-21T16:00:05.000256,16.01132543,.000216,43.0009,252.5898,258.1064,81.9379,0,U,66490,999,224,-.1936E-2,-.1101352E-1,.39593E-3
STARLINK-35663,2025-263G,2025-11-21T16:00:05.000256,16.01296312,.0002129,43.0008,252.5831,259.6641,83.0257,0,U,66491,999,224,-.19332E-2,-.11102E-1,.40247E-3
STARLINK-35673,2025-263H,2025-11-21T16:00:05.000256,16.01383586,.000207,43.0008,252.5795,262.1703,81.9399,0,U,66492,999,224,-.19365E-2,-.1117673E-1,.40782E-3
