x,y,z,t,firing
-9321735.035788,6141117.492047,7284858.082369,29455.325000,0
-9554651.955430,5992465.178172,7106924.593766,29515.324000,0
-9781782.565721,5840183.836296,6924683.955414,29575.320000,0
-10002990.801519,5684366.575468,6738247.667777,29635.319000,0
-10218144.286796,5525108.618808,6547729.741176,29695.318000,0
-10427114.413597,5362507.242181,6353246.622332,29755.317000,0
-10629776.418368,5196661.711648,6154917.119451,29815.316000,0
-10826009.455646,5027673.219711,5952862.325885,29875.312000,0
-11015696.669183,4855644.820507,5747205.542546,29935.311000,0
-11198725.260221,4680681.363847,5538072.198946,29995.310000,0
-11374986.553130,4502889.428280,5325589.773085,30055.308000,0
-11544376.058221,4322377.253165,5109887.710170,30115.308000,0
-11706793.531710,4139254.669808,4891097.340214,30175.305000,0
-11862143.032964,3953633.031769,4669351.794664,30235.303000,0
-12010332.978704,3765625.144280,4444785.921978,30295.301000,0
-12151276.194427,3575345.192944,4217536.202347,30355.300000,0
-12284889.962865,3382908.671692,3987740.661545,30415.300000,0
-12411096.069448,3188432.310062,3755538.783983,30475.296000,0
-12529820.844951,2992033.999907,3521071.425084,30535.295000,0
-12640995.204967,2793832.721484,3284480.722933,30595.295000,0
-12744554.686530,2593948.469068,3045910.009377,30655.294000,0
-12840439.481672,2392502.176101,2805503.720569,30715.294000,0
-12928594.467927,2189615.639921,2563407.307028,30775.292000,0
-13008969.235957,1985411.446175,2319767.143329,30835.291000,0
-13081518.113962,1780012.892882,2074730.437395,30895.289000,0
-13146200.189203,1573543.914291,1828445.139536,30955.289000,0
-13202979.326440,1366129.004513,1581059.851253,31015.288000,0
-13251824.183309,1157893.141018,1332723.733870,31075.276000,0
-13292708.222827,948961.708053,1083586.417095,31135.276000,0
-13325609.722687,739460.419985,833797.907502,31195.275000,0
-13350511.781698,529515.244681,583508.497054,31255.274000,0
-13367402.323178,319252.326926,332868.671709,31315.273000,0
-13376274.095333,108797.911954,82029.020138,31375.270000,0
-13377124.668820,-101721.730860,-168859.857325,31435.268000,0
-13369956.431174,-312180.384121,-419647.439515,31495.268000,0
-13354776.578460,-522451.958265,-670183.374937,31555.267000,0
-13331597.103968,-732410.567131,-920317.571910,31615.266000,0
-13300434.783987,-941930.603177,-1169900.288289,31675.262000,0
-13261311.160885,-1150886.812311,-1418782.220713,31735.261000,0
-13214252.523166,-1359154.368294,-1666814.593330,31795.260000,0
-13159289.882874,-1566608.946660,-1913849.245935,31855.259000,0
-13096458.950186,-1773126.798121,-2159738.721487,31915.259000,0
-13025800.105229,-1978584.821402,-2404336.352935,31975.255000,0
-12947358.367342,-2182860.635490,-2647496.349336,32035.254000,0
-12861183.361495,-2385832.651226,-2889073.881167,32095.253000,0
-12767329.282213,-2587380.142217,-3128925.164839,32155.253000,0
